Consulta de Precios y Stock,,,,,,
,,,,,,
Código,Producto,GENERAL,DEPOSITO,Proveedor,Unidad,Observaciones
14116,ESCUADRA MAPED 45°,"1,500.00",0.00,,UNIDAD,
14117,ESCUADRA MAPED 20CM,600.00,0.00,,UNIDAD,
14118,ESCUADRA MAPED 21CM,"1,500.00",0.00,,UNIDAD,
14119,TRANSPORTADOR MAPED,"2,000.00",0.00,,UNIDAD,
14120,PLANTILLA LETRAS MEDIANA,"3,000.00",0.00,,UNIDAD,
141200,PLASTICOLA TINTORETTO 50 GR,650.00,0.00,COMERCIAL SUMA SRL,UNIDAD,
14122,ESCUADRA 45° MAPED,600.00,0.00,,UNIDAD,
14123,ESCALIMETRO TRIANGULO,"2,600.00",0.00,,UNIDAD,
14124,REGLA FLEX COLORES,"1,500.00",0.00,,UNIDAD,
14126,PAPEL GLACE 5 HOJAS,300.00,0.00,,UNIDAD,
14127,RESALTADOR PELIKAN PASTEL FLASH,"1,600.00",2.00,,UNIDAD,
14128,RESALTADOR TRABI AMARILLO,690.00,11.00,,UNIDAD,
1413,BIROME MICRO X10,"1,500.00",0.00,,UNIDAD,
141300,LAPIZ CAPYBARA C/GOMA,800.00,0.00,COMERCIAL SUMA SRL,UNIDAD,
141303,TIZA FILGO BLANCA X10,800.00,0.00,COMERCIAL SUMA SRL,UNIDAD,
141305,LAPIZ CORRECTOR EZCO CHICO,850.00,0.00,COMERCIAL SUMA SRL,UNIDAD,
141308,LAPICERA BORRABLE KIRUKI,"2,000.00",0.00,COMERCIAL SUMA SRL,UNIDAD,
141309,LAPICERA BIC,900.00,0.00,COMERCIAL SUMA SRL,UNIDAD,
14131,POCILLO P/TEMPERA,400.00,0.00,,UNIDAD,
14132,NOTAS ADHESIVAS EZCO,850.00,0.00,,UNIDAD,
14133,TIJERA EZCO 17CM,"2,700.00",0.00,COMERCIAL SUMA SRL,UNIDAD,
14134,TIJERA MAPED,600.00,0.00,,UNIDAD,
14136,ANOTADORES LISOS A5 80 HOJAS,"3,900.00",0.00,,UNIDAD,
14137,ANOTADOR 80 HOJAS CUADRICULADAS A6,"2,200.00",0.00,,UNIDAD,
14138,MARCADOR EDDING 1880,"3,000.00",0.00,,UNIDAD,
141425,TIARA MIS QUINCE C/STRASS,"7,500.00",0.00,,UNIDAD,
141426¿5,SET FELIZ CUMPLEAÑOS VINCHA Y BANDA DORADA,"7,000.00",-1.00,,UNIDAD,
141428,LABIAL DE COLOR,"2,000.00",0.00,,UNIDAD,
141430,MAQUILLAJE GLOW IN THE DARK 12ML,"4,200.00",0.00,,UNIDAD,
141433,MAQUILLAJE ARTISTICO PINTAFAN X2,"1,800.00",0.00,,UNIDAD,
141436,GEL CON GLITTER LUYAGUS,"1,900.00",0.00,,UNIDAD,
141438,LUCES LED 10 MT DAEWOO NAVIDAD,"18,000.00",0.00,,UNIDAD,
14145,MARCADORES EDDING X12,"5,500.00",0.00,,UNIDAD,
14146,MARCADORES X6 GREENCASTLE,"1,500.00",0.00,,UNIDAD,
14147,MARCADORES X6 FABER CASTELL,"4,500.00",0.00,,UNIDAD,
14148,MARCADORES FABERCASTELL X10,"5,000.00",0.00,,UNIDAD,
14149,MARCADORES X10 FABERCITO,"4,500.00",0.00,,UNIDAD,
14150,MARCADORES BIC X10,"7,500.00",0.00,,UNIDAD,
14151,LAPICES COLOR FABERCASTELL X6,"2,300.00",0.00,,UNIDAD,
14153,FIBRAS FABERCITO X6,"1,690.00",0.00,,UNIDAD,
14154,DICCIONARIO ILUSTRADO,600.00,0.00,,UNIDAD,
14155,DICCIONARIO SINONIMOS-ANTONIMOS,"2,000.00",0.00,,UNIDAD,
14156,DICCIONARIO INGLES-ESPAÑOL,"2,500.00",0.00,,UNIDAD,
